"Start","End","Service","Amount","Unit"
"2025-11-01","2025-12-01","AWS CodeArtifact","0","USD"
"2025-11-01","2025-12-01","AWS Config","77.283","USD"
"2025-11-01","2025-12-01","AWS Data Pipeline","12.9791667705","USD"
"2025-11-01","2025-12-01","AWS Global Accelerator","75.5136851775","USD"
"2025-11-01","2025-12-01","AWS Glue","1435.35680332","USD"
"2025-11-01","2025-12-01","AWS Key Management Service","4.9763889287","USD"
"2025-11-01","2025-12-01","AWS Lambda","99.602215995","USD"
"2025-11-01","2025-12-01","AWS Payment Cryptography","0.0134","USD"
"2025-11-01","2025-12-01","AWS Secrets Manager","24.3015600902","USD"
"2025-11-01","2025-12-01","AWS Security Hub","84.245","USD"
"2025-11-01","2025-12-01","AWS Step Functions","6.0795241087","USD"
"2025-11-01","2025-12-01","AWS Support (Business)","833.5289804171","USD"
"2025-11-01","2025-12-01","AWS X-Ray","0.749105","USD"
"2025-11-01","2025-12-01","Amazon API Gateway","81.8244221816","USD"
"2025-11-01","2025-12-01","Amazon Athena","0.05165","USD"
"2025-11-01","2025-12-01","Amazon CloudFront","0.0009986489","USD"
"2025-11-01","2025-12-01","Amazon Cognito","443.28825","USD"
"2025-11-01","2025-12-01","Amazon DynamoDB","0.6552","USD"
"2025-11-01","2025-12-01","Amazon EC2 Container Registry (ECR)","17.7011914145","USD"
"2025-11-01","2025-12-01","EC2 - Other","1217.3926943648","USD"
"2025-11-01","2025-12-01","Amazon Elastic Compute Cloud - Compute","1660.7489956903","USD"
"2025-11-01","2025-12-01","Amazon Elastic Container Service","221.8523704075","USD"
"2025-11-01","2025-12-01","Amazon Elastic Container Service for Kubernetes","63.811257193","USD"
"2025-11-01","2025-12-01","Amazon Elastic File System","0.3889138848","USD"
"2025-11-01","2025-12-01","Amazon Elastic Load Balancing","504.9994373076","USD"
"2025-11-01","2025-12-01","Amazon GuardDuty","10.2637788332","USD"
"2025-11-01","2025-12-01","Amazon Kinesis","111.98","USD"
"2025-11-01","2025-12-01","Amazon Kinesis Firehose","0.9278572034","USD"
"2025-11-01","2025-12-01","Amazon Lightsail","25.766254687","USD"
"2025-11-01","2025-12-01","Amazon Location Service","0.0006585","USD"
"2025-11-01","2025-12-01","Amazon OpenSearch Service","174.9206666666","USD"
"2025-11-01","2025-12-01","Amazon Redshift","179.9169445","USD"
"2025-11-01","2025-12-01","Amazon Relational Database Service","3157.809708001","USD"
"2025-11-01","2025-12-01","Amazon Route 53","1.5029916","USD"
"2025-11-01","2025-12-01","Amazon SageMaker","185.2821895932","USD"
"2025-11-01","2025-12-01","Amazon Simple Notification Service","20.8354558792","USD"
"2025-11-01","2025-12-01","Amazon Simple Queue Service","60.7570899099","USD"
"2025-11-01","2025-12-01","Amazon Simple Storage Service","1224.483181649","USD"
